Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,,Weight,Height,Bats,Throws,Birthplace,R/PA
Mickey Moniak*,26,LAA,AL,-0.1,124,418,392,48,86,17,2,14,49,8,4,21,114,0.219,0.266,0.38,0.646,79,0.283,78,149,3,4,0,1,0,*89H/D7,,,195,74,Left,Left,CA,11.48325359
Connor Joe,31,PIT,NL,0.6,123,416,364,49,83,22,1,9,36,2,2,44,91,0.228,0.32,0.368,0.688,92,0.306,92,134,7,6,0,2,1,39H/7D,,,205,74,Right,Right,CA,11.77884615
Austin Wells*,24,NYY,AL,2.5,115,414,354,42,81,18,1,13,55,1,2,47,87,0.229,0.322,0.395,0.718,103,0.318,104,140,9,5,1,7,0,*2H/D,ROY-3,,220,73,Left,Right,AZ,10.14492754
J.T. Realmuto,33,PHI,NL,3,99,413,380,50,101,18,1,14,47,2,2,27,102,0.266,0.322,0.429,0.751,108,0.331,112,163,7,5,0,1,1,2,,,212,73,Right,Right,OK,12.10653753
Pete Crow-Armstrong*,22,CHC,NL,2.3,123,410,372,46,88,13,6,10,47,27,3,21,98,0.237,0.286,0.384,0.67,87,0.3,82,143,4,6,8,3,2,*8H,,,184,73,Left,Left,CA,11.2195122
Lars Nootbaar*,26,STL,NL,1.5,109,405,348,39,85,18,3,12,45,7,3,52,79,0.244,0.342,0.417,0.758,112,0.334,112,145,10,1,1,3,2,978/H,,,210,75,Left,Left,CA,9.62962963
Jon Singleton*,32,HOU,AL,0.3,119,405,355,46,83,13,1,13,42,0,0,47,111,0.234,0.321,0.386,0.707,102,0.317,105,137,2,0,0,3,0,3HD,,,230,74,Left,Left,CA,11.35802469
Nolan Gorman*,24,STL,NL,0.3,107,402,365,42,74,15,0,19,50,6,1,34,151,0.203,0.271,0.4,0.671,86,0.291,79,146,2,1,0,2,1,4/H5,,,210,73,Left,Right,AZ,10.44776119
LaMonte Wade Jr.*,30,SFG,NL,2.1,117,401,331,45,86,16,0,8,34,2,1,62,90,0.26,0.38,0.381,0.761,121,0.337,122,126,2,4,1,3,5,3H9/D7,,,215,71,Left,Left,MD,11.22194514
Seth Brown*,31,OAK,AL,-0.6,124,400,372,32,86,11,1,14,44,4,2,25,112,0.231,0.283,0.379,0.662,91,0.291,90,141,7,2,0,1,0,739H/D8,,,223,73,Left,Left,OR,8
Trevor Larnach*,27,MIN,AL,1.3,112,400,355,59,92,17,0,15,52,4,1,40,89,0.259,0.338,0.434,0.771,115,0.341,117,154,12,3,0,2,1,7D9H,,,223,76,Left,Right,CA,14.75
Max Kepler*,31,MIN,AL,1,105,399,368,43,93,21,1,8,42,1,0,22,80,0.253,0.302,0.38,0.682,90,0.315,98,140,3,5,0,3,0,9H/D,,,220,76,Left,Left,GER,10.77694236
Ke'Bryan Hayes,27,PIT,NL,0.8,96,396,365,38,85,9,0,4,25,11,2,23,75,0.233,0.283,0.29,0.573,61,0.267,60,106,12,4,0,4,1,5/H,,,205,73,Right,Right,TX,9.595959596
Korey Lee,25,CHW,AL,0.1,125,394,377,36,79,14,1,12,37,6,3,17,122,0.21,0.244,0.347,0.591,68,0.264,68,131,12,0,0,0,0,*2H/D,,,210,74,Right,Right,CA,9.137055838
Kiké Hernández,32,LAD,NL,1.3,126,393,362,44,83,16,0,12,42,0,0,27,77,0.229,0.281,0.373,0.654,85,0.294,88,135,13,0,1,3,0,5H3784/61D,,,200,71,Right,Right,PR,11.19592875
David Fry,28,CLE,AL,1.4,122,392,335,44,88,18,1,14,51,4,1,42,84,0.263,0.356,0.448,0.804,129,0.352,128,150,13,9,0,4,4,DH237/59,AS,,210,74,Right,Right,TX,11.2244898
Santiago Espinal,29,CIN,NL,-0.4,118,391,357,32,88,12,0,9,45,11,1,24,54,0.246,0.295,0.356,0.65,78,0.294,73,127,7,2,4,4,1,54HD/679,,,190,70,Right,Right,DR ,8.184143223
Bo Naylor*,24,CLE,AL,0.7,123,389,354,39,71,10,2,13,39,6,3,29,122,0.201,0.264,0.35,0.614,74,0.272,71,124,3,2,2,2,1,*2H/D,,,205,72,Left,Right,CAN,10.02570694
Will Benson*,26,CIN,NL,-1.4,128,388,343,41,64,19,2,14,43,16,7,40,154,0.187,0.274,0.376,0.65,76,0.285,70,129,3,2,1,2,0,*798H/D,,,230,77,Left,Left,GA,10.56701031
Byron Buxton,30,MIN,AL,3.6,102,388,355,62,99,27,3,18,56,7,2,20,99,0.279,0.335,0.524,0.859,136,0.369,136,186,3,11,0,2,1,8/HD,,,190,74,Right,Right,GA,15.97938144
Geraldo Perdomo#,24,ARI,NL,3.5,98,388,337,61,92,21,2,3,37,9,1,36,58,0.273,0.344,0.374,0.718,101,0.328,104,126,5,3,7,5,0,6/H,,,195,71,Switch,Right,DR ,15.72164948
Nick Gonzales,25,PIT,NL,0.9,94,387,359,42,97,19,3,7,49,5,3,18,74,0.27,0.311,0.398,0.709,96,0.316,98,143,8,5,1,4,1,4/6H5,,,195,72,Right,Right,PA,10.85271318
Josh Lowe*,26,TBR,AL,0.7,106,387,353,37,85,19,2,10,34,25,1,32,123,0.241,0.302,0.391,0.693,98,0.315,93,138,2,0,0,2,4,97/HD8,,,205,76,Left,Right,FL,9.560723514
Alejandro Kirk,25,TOR,AL,2,103,386,340,23,86,19,1,5,54,0,0,35,51,0.253,0.319,0.359,0.677,93,0.303,94,122,11,2,0,9,1,2/HD,,,265,68,Right,Right,MEX,5.958549223
Tyler Freeman,25,CLE,AL,0.9,118,383,330,48,69,14,1,7,32,11,6,28,53,0.209,0.305,0.321,0.626,80,0.288,83,106,15,19,3,3,1,8H6/54D,,,190,72,Right,Right,OH,12.53263708
Jake Fraley*,29,CIN,NL,0.3,116,382,350,44,97,19,2,5,26,20,5,26,70,0.277,0.33,0.386,0.716,96,0.319,92,135,6,3,0,3,0,9H/D78,,,207,72,Left,Right,GA,11.51832461
Thairo Estrada,28,SFG,NL,-0.5,96,381,364,43,79,15,2,9,47,2,2,10,76,0.217,0.247,0.343,0.59,68,0.263,69,125,8,5,0,2,0,4/DH,,,185,70,Right,Right,VENZ,11.28608924
Spencer Horwitz*,26,TOR,AL,1.2,97,381,328,46,87,19,0,12,40,0,0,42,70,0.265,0.357,0.433,0.79,124,0.346,125,142,8,7,0,4,2,34DH,,,220,72,Left,Left,CAN,12.07349081
Spencer Torkelson,24,DET,AL,0.3,92,381,342,45,75,21,1,10,37,0,0,33,105,0.219,0.295,0.374,0.669,89,0.293,86,128,6,4,0,1,0,3/D,,,220,73,Right,Right,CA,11.81102362
Anthony Rizzo*,34,NYY,AL,0.2,92,375,337,38,77,12,0,8,35,0,0,27,65,0.228,0.301,0.335,0.637,81,0.297,88,113,7,9,0,2,0,3/H,,,240,75,Left,Left,FL,10.13333333
Starling Marte,35,NYM,NL,0.7,94,370,335,46,90,13,3,7,40,16,1,27,81,0.269,0.327,0.388,0.715,104,0.328,107,130,8,3,3,2,1,9/DH,,,195,74,Right,Right,DR ,12.43243243
Lenyn Sosa,24,CHW,AL,-0.4,100,369,351,28,89,13,0,8,35,3,1,12,77,0.254,0.283,0.359,0.642,84,0.282,79,126,5,3,2,1,1,54/H3D,,,220,72,Right,Right,VENZ,7.588075881
Freddy Fermin,29,KCR,AL,3,111,368,339,40,92,14,0,6,36,2,0,23,66,0.271,0.319,0.366,0.685,93,0.307,92,124,10,2,1,3,1,2D/H,,,235,72,Right,Right,VENZ,10.86956522
Carlos Correa,29,MIN,AL,3.7,86,367,319,55,99,20,2,14,54,0,0,40,61,0.31,0.388,0.517,0.905,151,0.393,155,165,5,3,0,4,4,6/DH,AS,,220,76,Right,Right,PR,14.98637602
Abraham Toro#,27,OAK,AL,0.6,94,364,337,34,81,17,1,6,26,4,2,20,62,0.24,0.293,0.35,0.643,87,0.285,85,118,4,5,2,0,1,54DH/37,,,205,72,Switch,Right,CAN,9.340659341
Miguel Amaya,25,CHC,NL,1.9,117,363,328,32,76,13,2,8,47,0,0,23,62,0.232,0.288,0.357,0.644,81,0.292,84,117,5,4,5,3,0,*2/H,,,230,71,Right,Right,PAN,8.815426997
Johan Rojas,23,PHI,NL,0.7,120,363,338,47,82,12,3,3,32,25,4,13,69,0.243,0.279,0.322,0.601,68,0.277,63,109,7,4,8,0,0,*8/HD,,,195,74,Right,Right,DR ,12.9476584
Jonny DeLuca,25,TBR,AL,0.6,107,362,332,29,72,12,4,6,31,16,6,24,77,0.217,0.278,0.331,0.609,75,0.279,76,110,1,4,2,0,1,98H7/D,,,200,71,Right,Right,CA,8.011049724
Brandon Drury,31,LAA,AL,-2,97,360,325,28,55,7,0,4,15,1,0,27,81,0.169,0.242,0.228,0.469,34,0.228,38,74,13,5,0,3,0,45D3/H,,,230,74,Right,Right,OR,7.777777778
Willson Contreras,32,STL,NL,3,84,358,301,48,79,17,0,15,36,4,1,45,96,0.262,0.38,0.468,0.848,137,0.37,137,141,7,12,0,0,2,2D/H,,,225,72,Right,Right,VENZ,13.40782123
Michael Massey*,26,KCR,AL,1.6,100,356,332,45,86,17,2,14,45,1,0,15,56,0.259,0.294,0.449,0.743,105,0.328,108,149,9,3,2,4,1,4HD,,,205,72,Left,Right,IL,12.64044944
Will Brennan*,26,CLE,AL,-0.2,114,353,330,37,87,13,2,8,30,4,2,19,48,0.264,0.309,0.388,0.697,98,0.307,96,128,9,3,0,1,2,97HD/8,,,200,72,Left,Right,OH,10.4815864
Gabriel Moreno,24,ARI,NL,2.6,97,351,305,39,81,18,1,5,45,3,1,41,52,0.266,0.353,0.38,0.734,105,0.327,105,116,10,2,0,3,1,2H/5,,,195,70,Right,Right,VENZ,11.11111111
Elias Díaz,33,2TM,NL,1.3,96,351,325,27,86,20,0,6,39,0,0,20,69,0.265,0.313,0.382,0.695,87,0.309,87,124,15,4,0,2,2,2D/H,,,223,74,Right,Right,VENZ,7.692307692
Mike Tauchman*,33,CHC,NL,0.6,109,350,298,50,74,12,1,7,29,6,2,47,70,0.248,0.357,0.366,0.723,106,0.326,108,109,7,4,0,1,0,9HD78,,,210,74,Left,Left,IL,14.28571429
Eloy Jiménez,27,2TM,AL,-0.7,98,349,324,25,77,14,0,6,23,3,0,22,70,0.238,0.289,0.336,0.626,81,0.282,80,109,13,2,0,1,1,DH/9,,,240,76,Right,Right,DR ,7.163323782
Jake Bauers*,28,MIL,NL,-0.4,116,346,302,45,60,9,2,12,43,13,1,39,118,0.199,0.301,0.361,0.662,84,0.3,80,109,0,5,0,0,1,3HD9/71,,,215,73,Left,Left,MO,13.00578035
Jake Cave*,31,COL,NL,-0.7,123,346,323,42,81,16,5,7,37,5,2,18,98,0.251,0.29,0.396,0.686,83,0.297,77,128,6,1,1,3,1,*97H/8D,,,200,72,Left,Left,AZ,12.13872832
Amed Rosario,28,3TM,2LG,-0.1,103,346,332,29,93,18,3,3,32,13,5,9,73,0.28,0.306,0.38,0.686,95,0.312,98,126,10,4,0,1,0,49DH56,,,195,74,Right,Right,DR ,8.38150289
Tyrone Taylor,30,NYM,NL,2,130,345,319,47,79,22,3,7,35,11,2,19,80,0.248,0.299,0.401,0.701,99,0.317,102,128,4,5,1,1,1,*98H7/D,,,200,72,Right,Right,IL,13.62318841
Manuel Margot,29,MIN,AL,-0.9,129,343,315,37,75,17,1,4,31,5,0,21,54,0.238,0.289,0.337,0.626,75,0.281,72,106,10,3,1,3,0,*79H8/D,,,205,71,Right,Right,DR ,10.78717201
Francisco Alvarez,22,NYM,NL,0.8,100,342,308,39,73,14,2,11,47,1,1,30,86,0.237,0.307,0.403,0.71,101,0.319,107,124,7,2,0,2,0,2/HD,,,233,72,Right,Right,VENZ,11.40350877
Travis d'Arnaud,35,ATL,NL,1.1,99,341,307,40,73,16,0,15,48,1,0,24,89,0.238,0.302,0.436,0.739,102,0.32,101,134,8,6,0,4,0,2H,,,210,73,Right,Right,TX,11.73020528
Tyler Fitzgerald,26,SFG,NL,2.8,96,341,314,53,88,19,2,15,34,17,4,22,108,0.28,0.334,0.497,0.831,136,0.367,140,156,2,4,0,1,0,6H/8471D3,,,190,72,Right,Right,CA,15.54252199
TJ Friedl*,28,CIN,NL,0.5,85,341,297,35,67,5,1,13,55,9,1,26,52,0.226,0.31,0.38,0.69,88,0.313,88,113,1,12,2,4,0,8/HD,,,180,70,Left,Left,CA,10.26392962
Kyle Tucker*,27,HOU,AL,4.7,78,339,277,56,80,13,0,23,49,11,0,56,54,0.289,0.408,0.585,0.993,180,0.426,179,162,5,1,0,2,3,9/DH,AS,,199,76,Left,Left,FL,16.51917404
Jake Rogers,29,DET,AL,1,102,337,310,43,61,16,1,10,36,1,0,22,99,0.197,0.255,0.352,0.607,71,0.27,69,109,6,3,0,2,1,2/DH,,,232,74,Right,Right,MI,12.75964392
Miguel Rojas,35,LAD,NL,3.4,103,337,307,41,87,21,0,6,36,8,2,23,34,0.283,0.337,0.41,0.748,113,0.329,112,126,8,3,2,2,0,64H5/13,,,188,71,Right,Right,VENZ,12.16617211
Bo Bichette,26,TOR,AL,-0.3,81,336,311,29,70,16,1,4,31,5,1,20,64,0.225,0.277,0.322,0.598,70,0.269,68,100,12,3,0,2,1,6,,,190,72,Right,Right,CAN,8.630952381
James Wood*,21,WSN,NL,1.1,79,336,295,43,78,13,4,9,41,14,8,39,97,0.264,0.354,0.427,0.781,122,0.343,124,126,1,2,0,0,1,7,,,240,78,Left,Right,MD,12.79761905
Nick Fortes,27,MIA,NL,0,110,335,308,28,70,16,0,4,29,0,1,11,41,0.227,0.259,0.318,0.577,56,0.249,44,98,6,4,7,5,0,*2/H,,,210,74,Right,Right,FL,8.358208955
Whit Merrifield,35,2TM,NL,0.3,95,335,293,44,65,9,3,4,15,17,3,35,52,0.222,0.311,0.314,0.625,76,0.307,87,92,7,3,4,0,0,475H/D,,,195,73,Right,Right,NC,13.13432836
Michael Siani*,24,STL,NL,0.7,124,334,298,42,68,7,2,2,20,20,3,21,92,0.228,0.285,0.285,0.57,62,0.265,54,85,2,3,11,1,0,*8H/97D,,,188,74,Left,Left,NJ,12.5748503
Adam Duvall,35,ATL,NL,-1.4,104,330,303,29,55,10,0,11,30,0,0,21,99,0.182,0.245,0.323,0.569,57,0.262,59,98,6,5,0,1,0,79H/D,,,215,73,Right,Right,KY,8.787878788
Ben Rortvedt*,26,TBR,AL,0.9,112,328,290,27,66,13,0,3,31,1,0,34,88,0.228,0.317,0.303,0.621,80,0.287,83,88,6,4,0,0,0,*2H/1,,,205,72,Left,Right,WI,8.231707317
Oswaldo Cabrera#,25,NYY,AL,1.3,108,326,299,47,74,11,0,8,36,4,2,21,63,0.247,0.296,0.365,0.661,87,0.3,90,109,6,1,2,3,0,5H34/6791,,,200,71,Switch,Right,VENZ,14.41717791
Royce Lewis,25,MIN,AL,0.7,82,325,292,40,68,16,0,16,47,0,0,28,74,0.233,0.295,0.452,0.747,106,0.315,99,132,5,0,0,5,2,5D/H4,,,200,74,Right,Right,TX,12.30769231
Zach McKinstry*,29,DET,AL,0.8,118,325,297,32,64,14,5,4,23,16,0,24,69,0.215,0.277,0.337,0.614,74,0.288,74,100,3,2,0,2,0,65H479/1D,,,180,72,Left,Right,IN,9.846153846
Danny Jansen,29,2TM,AL,0.7,92,324,278,35,57,13,0,9,24,0,0,40,61,0.205,0.309,0.349,0.658,86,0.302,91,97,4,3,0,3,0,2H/D,,,225,74,Right,Right,CAN,10.80246914
Miguel Andujar,29,OAK,AL,0.4,75,319,302,31,86,14,1,4,30,3,2,13,42,0.285,0.32,0.377,0.697,103,0.308,103,114,10,3,0,1,0,7/D3H,,,220,72,Right,Right,DR,9.717868339
Eddie Rosario*,32,2TM,NL,-1.6,91,319,297,33,52,12,0,10,35,9,1,16,77,0.175,0.215,0.316,0.531,48,0.241,43,94,4,0,2,4,0,79D8/H,,,180,73,Left,Left,PR,10.34482759
David Hamilton*,26,BOS,AL,2.6,98,317,294,47,73,17,1,8,28,33,4,22,80,0.248,0.303,0.395,0.697,93,0.331,95,116,1,1,0,0,0,64H,,,175,71,Left,Right,MA,14.82649842
Richie Palacios*,27,TBR,AL,1.8,92,316,264,46,59,8,1,5,21,19,1,45,67,0.223,0.346,0.318,0.664,94,0.318,96,84,5,5,0,1,2,497H/D56,,,180,70,Left,Right,NY,14.55696203
Christian Vázquez,33,MIN,AL,-0.2,93,315,294,29,65,10,0,7,27,3,1,11,65,0.221,0.248,0.327,0.575,60,0.262,60,96,11,1,5,4,0,2/5DH3,,,215,70,Right,Right,PR,9.206349206
Christian Yelich*,32,MIL,NL,2.2,73,315,270,44,85,12,3,11,42,21,1,40,58,0.315,0.406,0.504,0.909,152,0.404,151,136,3,2,1,1,3,7D,AS,,195,75,Left,Right,CA,13.96825397
Kevin Pillar,35,2TM,AL,0.4,100,314,284,38,65,16,1,8,45,12,3,16,69,0.229,0.291,0.377,0.667,87,0.298,86,107,10,10,1,3,0,8H79D,,,210,72,Right,Right,CA,12.10191083
Joey Meneses,32,WSN,NL,-0.5,76,313,281,19,65,11,0,3,42,2,0,21,63,0.231,0.291,0.302,0.593,70,0.28,76,85,9,5,0,6,1,3D/H,,,245,75,Right,Right,MEX,6.07028754
Carson Kelly,29,2TM,AL,0.5,91,313,281,32,67,9,1,9,37,0,0,25,55,0.238,0.313,0.374,0.687,96,0.305,95,105,6,6,0,1,0,2/DH,,,220,74,Right,Right,IL,10.22364217
Kevin Newman,30,ARI,NL,2.2,111,311,288,41,80,17,1,3,28,8,1,15,48,0.278,0.311,0.375,0.686,91,0.313,92,108,7,0,6,2,1,643/H57D,,,200,73,Right,Right,CA,13.18327974
Donovan Solano,36,SDP,NL,1,96,309,283,31,81,13,0,8,35,2,1,22,65,0.286,0.343,0.417,0.76,113,0.339,116,118,6,3,0,1,0,5DH3/4,,,210,73,Right,Right,VENZ,10.03236246
Ramón Laureano,29,2TM,2LG,1.3,98,309,286,35,74,16,1,11,33,8,3,15,96,0.259,0.311,0.437,0.748,107,0.337,114,125,5,7,0,1,0,97H8,,,215,71,Right,Right,DR,11.32686084
Rob Refsnyder,33,BOS,AL,0.8,93,307,272,32,77,16,1,11,40,2,2,28,78,0.283,0.359,0.471,0.83,130,0.354,126,128,6,5,0,1,2,79HD,,,205,72,Right,Right,KOR,10.42345277
Dominic Smith*,29,2TM,2LG,-0.1,93,307,275,33,64,22,0,6,34,1,1,28,76,0.233,0.313,0.378,0.691,92,0.308,91,104,7,4,0,0,0,3H/D1,,,250,74,Left,Left,CA,10.74918567
Luis Rengifo#,27,LAA,AL,1.9,78,304,283,41,85,13,1,6,30,24,7,16,44,0.3,0.347,0.417,0.763,114,0.344,116,118,6,4,1,0,0,54/H69D,,,195,70,Switch,Right,VENZ,13.48684211
Xavier Edwards#,24,MIA,NL,2,70,303,265,39,87,12,5,1,26,31,4,33,52,0.328,0.397,0.423,0.82,124,0.383,128,112,0,0,1,4,1,6/H4,,,180,70,Switch,Right,FL,12.87128713
Ildemaro Vargas#,32,WSN,NL,-0.5,95,303,272,21,67,16,0,1,30,9,4,19,31,0.246,0.295,0.316,0.611,75,0.273,72,86,9,2,5,5,0,547H/613D,,,180,71,Switch,Right,VENZ,6.930693069
Emmanuel Rivera,28,MIA,NL,-0.7,96,229,201,15,43,6,1,1,15,2,0,20,51,0.214,0.294,0.269,0.563,55,0.263,53,54,5,4,1,3,0,53H/1D,,,225,73,Right,Right,PR,6.550218341
Edouard Julien*,25,MIN,AL,-0.2,94,301,266,36,53,9,0,8,21,6,0,33,102,0.199,0.292,0.323,0.616,73,0.288,76,86,2,2,0,0,0,4H/D3,,,195,74,Left,Right,CAN,11.96013289
Ramón Urías,30,BAL,AL,1.5,100,301,272,39,69,9,2,11,37,1,1,23,55,0.254,0.322,0.423,0.745,116,0.326,117,115,0,5,0,1,0,5/H4D3,,,185,69,Right,Right,MEX,12.95681063
Michael A. Taylor,33,PIT,NL,0.9,113,300,269,35,52,9,1,5,21,12,1,23,105,0.193,0.253,0.29,0.543,52,0.255,47,78,3,0,4,4,0,8H/7D,,,215,76,Right,Right,IL,11.66666667
Luis Campusano,25,SDP,NL,-0.7,91,299,277,37,63,13,0,8,40,0,0,20,41,0.227,0.281,0.361,0.642,79,0.287,78,100,11,1,0,1,0,2H/3,,,232,70,Right,Right,GA,12.37458194
Parker Meadows*,24,DET,AL,2.2,82,298,270,39,66,12,6,9,28,9,4,25,76,0.244,0.31,0.433,0.743,109,0.324,108,117,0,1,1,1,0,8/H,,,205,77,Left ,Right,GA,13.08724832
Nolan Jones*,26,COL,NL,-0.7,79,297,256,28,58,13,1,3,28,5,4,36,91,0.227,0.321,0.32,0.641,75,0.289,73,82,7,1,1,3,2,7/DH,,,195,77,Left ,Right,PA,9.427609428
Kerry Carpenter*,26,DET,AL,2.2,87,296,264,37,75,16,5,18,57,0,2,22,75,0.284,0.345,0.587,0.932,159,0.386,156,155,5,4,0,3,1,9DH/7,,,220,73,Left ,Right,FL,12.5
Víctor Robles,27,2TM,2LG,3.1,91,295,254,44,78,20,0,4,28,34,2,21,53,0.307,0.381,0.433,0.814,140,0.384,143,110,2,11,6,3,0,897/HD,,,193,72,Right,Right,DR,14.91525424
Adam Frazier*,32,KCR,AL,0.3,104,294,262,35,53,10,1,4,22,3,0,22,59,0.202,0.282,0.294,0.576,63,0.269,64,77,0,7,3,0,0,4H9D7/53,,,190,70,Left ,Right,GA,11.9047619
Max Muncy*,33,LAD,NL,3,73,293,237,47,55,17,0,15,48,1,0,45,77,0.232,0.358,0.494,0.852,141,0.361,136,117,1,5,0,6,3,5/H,,,215,70,Left,Right,TX,16.04095563
Jose Iglesias,34,NYM,NL,3.1,85,291,270,39,91,16,1,4,26,6,2,12,39,0.337,0.381,0.448,0.83,137,0.361,136,121,4,8,0,1,1,45/H6,,,195,71,Right,Right,CUBA,13.40206186
Javier Báez,31,DET,AL,-1.1,80,289,272,25,50,12,0,6,37,8,1,12,69,0.184,0.221,0.294,0.516,46,0.236,41,80,10,2,0,3,1,6/H,,,190,71,Right,Right,PR,8.650519031
Ezequiel Durán,25,TEX,AL,0,92,285,268,26,66,11,0,3,20,1,2,14,63,0.246,0.288,0.321,0.609,76,0.273,75,86,6,2,0,1,0,573DH/6498,,,185,70,Right,Right,DR,9.122807018
Joey Bart,27,PIT,NL,2.2,80,282,253,38,67,11,0,13,45,0,0,22,73,0.265,0.337,0.462,0.799,120,0.349,121,117,8,6,0,1,0,2D/H,,,235,75,Right,Right,GA,13.4751773
Jacob Stallings,34,COL,NL,1.8,82,281,243,31,64,17,1,9,36,0,0,27,65,0.263,0.357,0.453,0.81,117,0.355,119,110,10,9,1,1,1,2/HD,,,225,77,Right,Right,KS,11.03202847
Kevin Kiermaier*,34,2TM,2LG,1,116,281,259,31,51,9,3,5,26,6,2,12,86,0.197,0.237,0.313,0.55,56,0.253,56,81,4,2,7,1,0,*8H/9D,,,210,73,Left,Right,IN,11.03202847
Gary Sánchez,31,MIL,NL,0.2,89,280,245,30,54,7,1,11,37,0,0,27,76,0.22,0.307,0.392,0.699,94,0.312,94,96,9,5,0,3,0,D2H/3,,,245,74,Right,Right,DR,10.71428571
